                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.984,                 2.3149,                 1.5393,                 0.3913,                0.15957,                 0.2645,                0.12282,                 1.7744,                 3.5523,                 1.5018,               0.067673,             0.00032653,             0.00032653
                      1,                 1.9475,                 1.6689,                 1.4863,                0.57742,                0.34353,                0.38631,                0.15851,                 1.7021,                 2.3547,                  1.525,                0.03466,              0.0006468,              0.0006468
                      2,                 1.9298,                 1.6262,                 1.4928,                0.36751,                0.19991,                0.20091,                0.07905,                 1.8012,                 4.6544,                 1.5169,              0.0016341,             0.00095387,             0.00095387
                      3,                 1.9265,                 1.6055,                 1.4902,                0.62273,                 0.4047,                0.44175,                0.18447,                 1.5777,                 7.6976,                 1.3025,              0.0009406,              0.0009406,              0.0009406
                      4,                 1.8891,                 1.5402,                 1.4715,                 0.6222,                0.47207,                0.51028,                0.22153,                 1.5564,                 2.6671,                 1.2674,              0.0009406,              0.0009406,              0.0009406
                      5,                 1.8848,                 1.5146,                 1.4536,                0.58671,                0.41711,                0.43607,                0.18615,                 1.6284,                 9.7945,                 1.3256,              0.0009208,              0.0009208,              0.0009208
                      6,                  1.848,                 1.4455,                 1.4388,                0.67642,                 0.4898,                0.55194,                0.23964,                  1.589,                 1.5813,                 1.2564,               0.000901,               0.000901,               0.000901
                      7,                 1.8408,                 1.4059,                 1.4228,                0.67003,                0.46897,                0.52934,                0.23539,                 1.5104,                 2.1796,                 1.2514,              0.0008812,              0.0008812,              0.0008812
                      8,                  1.816,                 1.3976,                  1.399,                0.70949,                 0.5461,                0.61224,                0.27141,                 1.5075,                 1.7151,                 1.2171,              0.0008614,              0.0008614,              0.0008614
                      9,                 1.7974,                 1.3747,                 1.3948,                0.69911,                0.49291,                0.56262,                 0.2525,                 1.4857,                 1.3327,                 1.2163,              0.0008416,              0.0008416,              0.0008416
                     10,                 1.7889,                 1.3513,                 1.4063,                0.73089,                0.56822,                0.64566,                0.29129,                 1.4616,                 1.0583,                 1.1933,              0.0008218,              0.0008218,              0.0008218
                     11,                 1.7731,                 1.3221,                 1.3817,                 0.7201,                0.53723,                0.60856,                0.26656,                 1.4695,                 2.5272,                 1.2069,               0.000802,               0.000802,               0.000802
