                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9745,                 2.4881,                 1.4873,                      1,                0.00266,                0.50132,                0.28459,                 2.0568,                 3.7021,                 2.1082,                0.06738,             3.2653e-05,             3.2653e-05
                      1,                 1.9249,                 1.6986,                 1.4513,                 0.9097,                0.19201,                0.42631,                0.18586,                 1.5794,                 2.0389,                 1.2064,               0.034078,              6.468e-05,              6.468e-05
                      2,                  1.829,                 1.5094,                 1.3864,                0.74395,                 0.5492,                  0.632,                 0.3028,                 1.3461,                 1.2165,                 1.0582,             0.00077566,             9.5387e-05,             9.5387e-05
                      3,                 1.7936,                 1.4332,                 1.3625,                0.72206,                 0.5891,                0.67631,                0.32848,                 1.3195,                 1.3998,                 1.0393,              9.406e-05,              9.406e-05,              9.406e-05
                      4,                 1.7627,                 1.3778,                 1.3399,                0.76796,                0.59707,                 0.6856,                0.32785,                 1.3458,                 1.0528,                 1.0623,              9.406e-05,              9.406e-05,              9.406e-05
                      5,                 1.7609,                 1.3463,                 1.3267,                 0.7477,                0.61215,                0.69305,                0.33802,                 1.3009,                 1.4439,                 1.0366,              9.208e-05,              9.208e-05,              9.208e-05
                      6,                 1.7297,                 1.3125,                 1.3229,                0.78093,                0.60816,                0.69416,                0.34035,                 1.2957,                 1.0343,                 1.0149,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.7141,                 1.2598,                 1.3061,                0.77445,                0.61746,                0.70234,                0.33884,                 1.3161,                 1.1843,                 1.0358,              8.812e-05,              8.812e-05,              8.812e-05
                      8,                 1.7055,                 1.2645,                 1.2903,                0.75232,                 0.6274,                0.70143,                0.34092,                 1.3128,                 1.1924,                 1.0304,              8.614e-05,              8.614e-05,              8.614e-05
                      9,                 1.6818,                 1.2366,                 1.2919,                0.77714,                0.61055,                0.70552,                0.35486,                 1.2879,                 1.6372,                 1.0187,              8.416e-05,              8.416e-05,              8.416e-05
                     10,                 1.6697,                 1.2105,                 1.2848,                0.81224,                0.60683,                0.71654,                0.35035,                 1.3204,                0.86117,                 1.0414,              8.218e-05,              8.218e-05,              8.218e-05
                     11,                 1.6627,                 1.1829,                  1.272,                0.76315,                0.62855,                0.71838,                0.35489,                 1.2954,                0.85498,                 1.0179,               8.02e-05,               8.02e-05,               8.02e-05
                     12,                 1.6572,                 1.1879,                 1.2759,                0.79427,                0.62121,                0.71528,                0.35661,                 1.2779,                 1.2506,                 1.0194,              7.822e-05,              7.822e-05,              7.822e-05
                     13,                 1.6572,                 1.1742,                 1.2705,                0.77977,                0.63918,                 0.7281,                 0.3556,                 1.3108,                0.92174,                 1.0202,              7.624e-05,              7.624e-05,              7.624e-05
                     14,                  1.645,                 1.1511,                 1.2585,                0.79298,                0.61835,                0.72013,                  0.357,                 1.2937,                 1.0206,                 1.0239,              7.426e-05,              7.426e-05,              7.426e-05
                     15,                 1.6364,                 1.1315,                   1.26,                0.79925,                0.61062,                0.72087,                0.35727,                 1.3019,                 1.0638,                 1.0401,              7.228e-05,              7.228e-05,              7.228e-05
                     16,                 1.6263,                 1.1248,                 1.2469,                0.80405,                0.63032,                0.73282,                0.37117,                 1.2746,                0.82958,                 1.0162,               7.03e-05,               7.03e-05,               7.03e-05
                     17,                 1.6287,                 1.1179,                 1.2485,                0.77619,                0.65514,                 0.7377,                0.36645,                 1.2954,                 1.0373,                 1.0203,              6.832e-05,              6.832e-05,              6.832e-05
                     18,                 1.6166,                 1.1119,                 1.2415,                 0.7836,                0.63723,                0.72719,                0.36696,                 1.2707,                0.97575,                 1.0091,              6.634e-05,              6.634e-05,              6.634e-05
                     19,                 1.6027,                 1.0976,                  1.239,                0.79611,                0.63866,                0.73881,                 0.3688,                  1.274,                0.81218,                 1.0016,              6.436e-05,              6.436e-05,              6.436e-05
                     20,                 1.5951,                 1.0871,                  1.233,                0.78108,                0.64842,                0.73605,                 0.3704,                 1.2751,                0.87799,                 1.0056,              6.238e-05,              6.238e-05,              6.238e-05
                     21,                 1.6215,                 1.1004,                 1.2427,                0.79405,                0.65114,                0.74117,                0.37634,                 1.2567,                0.97306,                0.99619,               6.04e-05,               6.04e-05,               6.04e-05
                     22,                 1.6043,                 1.0796,                 1.2263,                0.76922,                0.65894,                0.73002,                0.36367,                 1.2865,                 1.3317,                 1.0155,              5.842e-05,              5.842e-05,              5.842e-05
                     23,                 1.5939,                 1.0668,                 1.2213,                0.79879,                0.65603,                0.73755,                 0.3699,                 1.2737,                0.88017,                 1.0089,              5.644e-05,              5.644e-05,              5.644e-05
                     24,                 1.6119,                 1.0741,                 1.2316,                 0.7848,                0.65603,                0.74088,                0.37456,                 1.2698,                0.85038,                 1.0055,              5.446e-05,              5.446e-05,              5.446e-05
                     25,                 1.5848,                 1.0523,                 1.2248,                0.79298,                0.64858,                0.74042,                0.37289,                 1.2699,                0.83119,                0.99985,              5.248e-05,              5.248e-05,              5.248e-05
                     26,                  1.565,                 1.0449,                 1.2221,                0.76844,                0.66634,                0.74003,                0.37342,                 1.2782,                0.83935,                  1.006,               5.05e-05,               5.05e-05,               5.05e-05
