                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0715,                 3.9775,                 2.8647,                  0.002,                0.04167,                 0.0008,                 0.0002,                 3.0525,                    inf,                 10.002,               0.067673,             0.00032653,             0.00032653
                      1,                 2.9401,                 3.0779,                 2.4651,                  0.002,                0.04167,                 0.0008,                 0.0002,                 3.5996,                 6.3131,                 7.2791,                0.03466,              0.0006468,              0.0006468
                      2,                 2.8282,                 2.9483,                 2.3269,                  0.002,                0.04167,                 0.0008,                 0.0002,                  3.516,                 6.6056,                 11.643,              0.0016341,             0.00095387,             0.00095387
                      3,                 2.7735,                 2.8821,                 2.2955,                 0.0024,                 0.0195,                0.00099,                0.00025,                 3.2264,                    inf,                 6.1713,              0.0009406,              0.0009406,              0.0009406
                      4,                  2.718,                  2.817,                 2.2256,                 0.0133,                0.02482,                0.00271,                0.00062,                 3.2478,                 7.2426,                 6.2335,              0.0009406,              0.0009406,              0.0009406
                      5,                 2.6705,                 2.6869,                  2.174,                0.00896,                0.06472,                0.00431,                0.00105,                 2.8027,                 4.3118,                 3.5566,              0.0009208,              0.0009208,              0.0009208
                      6,                 2.6032,                  2.636,                 2.1505,                0.05183,                 0.0625,                0.01097,                0.00362,                 2.5388,                    inf,                 2.5604,               0.000901,               0.000901,               0.000901
                      7,                 2.6061,                 2.6173,                 2.1604,                0.00351,                0.11746,                0.00294,                0.00097,                 2.4806,                 4.2069,                 2.7024,              0.0008812,              0.0008812,              0.0008812
                      8,                 2.5463,                 2.5546,                 2.0992,                0.02708,                0.04388,                 0.0088,                0.00209,                 2.6105,                 130.34,                 2.3679,              0.0008614,              0.0008614,              0.0008614
                      9,                 2.5179,                 2.5303,                 2.0757,                  0.003,                0.20567,                0.00231,                0.00058,                 3.1206,                 61.216,                 3.7837,              0.0008416,              0.0008416,              0.0008416
                     10,                 2.4998,                 2.4711,                 2.1044,                0.06834,                0.05585,                0.02114,                 0.0066,                 2.4983,                 6.0484,                 2.2397,              0.0008218,              0.0008218,              0.0008218
                     11,                 2.4744,                 2.4252,                 2.0592,                 0.2393,                0.10062,                0.07062,                0.01717,                 2.7499,                 2.4793,                  2.783,               0.000802,               0.000802,               0.000802
                     12,                 2.4655,                 2.4296,                 2.0673,                0.04417,                0.06516,                0.02912,                0.00939,                 2.3715,                 4.0957,                 2.2982,              0.0007822,              0.0007822,              0.0007822
                     13,                 2.4521,                 2.3755,                 2.0616,                0.02122,                0.02926,                0.00916,                0.00262,                 2.5762,                 16.519,                 2.4574,              0.0007624,              0.0007624,              0.0007624
                     14,                 2.4419,                 2.3591,                 2.0126,                0.17708,                0.08566,                0.06585,                0.02172,                  2.351,                 2.7912,                 2.0845,              0.0007426,              0.0007426,              0.0007426
                     15,                 2.3858,                 2.3184,                 2.0021,                0.04999,                0.10949,                0.03736,                0.01363,                 2.2326,                  3.641,                  2.288,              0.0007228,              0.0007228,              0.0007228
                     16,                  2.391,                 2.3065,                 1.9889,                   0.19,                0.13918,                0.07911,                0.02343,                  2.392,                 7.1079,                 2.0176,               0.000703,               0.000703,               0.000703
                     17,                 2.3736,                  2.262,                 1.9715,                0.05019,                0.07181,                0.01546,                 0.0039,                 2.6337,                 2.9114,                 2.2742,              0.0006832,              0.0006832,              0.0006832
                     18,                 2.3599,                 2.2414,                  1.954,                0.24779,                0.07801,                0.08624,                0.02587,                 2.1851,                 2.4815,                 1.9157,              0.0006634,              0.0006634,              0.0006634
                     19,                 2.3338,                 2.2108,                 1.9463,                0.09655,                0.10461,                0.03874,                0.00932,                 2.3482,                 10.935,                 2.1566,              0.0006436,              0.0006436,              0.0006436
                     20,                 2.3262,                 2.1949,                 1.9408,                0.25089,                0.16933,                0.13263,                0.04547,                 2.2668,                 5.7161,                 1.9889,              0.0006238,              0.0006238,              0.0006238
                     21,                 2.3395,                 2.2071,                 1.9394,                0.15047,                0.12855,                 0.0621,                0.02292,                 2.3385,                 55.104,                 2.1646,               0.000604,               0.000604,               0.000604
                     22,                 2.3356,                 2.1501,                 1.9255,                0.02172,                0.07934,                0.01954,                0.00612,                 2.7993,                 3.8814,                 2.8782,              0.0005842,              0.0005842,              0.0005842
                     23,                 2.2908,                 2.1383,                 1.9003,                0.12147,                0.11392,                0.05179,                0.01547,                 2.3418,                 13.806,                 2.2142,              0.0005644,              0.0005644,              0.0005644
                     24,                 2.2851,                  2.136,                 1.8938,                 0.4599,                0.12012,                0.16749,                0.05346,                 2.0844,                 2.6653,                 1.8747,              0.0005446,              0.0005446,              0.0005446
                     25,                 2.2736,                 2.1336,                 1.9034,                0.06814,                0.19592,                 0.0665,                0.02098,                 2.2602,                 3.3347,                 2.2568,              0.0005248,              0.0005248,              0.0005248
                     26,                  2.258,                 2.1168,                 1.8902,                0.22157,                0.19077,                0.13988,                0.04477,                 2.1587,                 2.5461,                 1.9456,               0.000505,               0.000505,               0.000505
                     27,                 2.2477,                 2.0721,                 1.8695,                0.15132,                0.20479,                0.08141,                0.02448,                 2.0984,                 7.2134,                 1.8674,              0.0004852,              0.0004852,              0.0004852
                     28,                 2.2482,                 2.1046,                 1.8771,                0.11207,                0.32092,                0.15351,                0.05389,                 2.0976,                  3.446,                  1.986,              0.0004654,              0.0004654,              0.0004654
                     29,                 2.2381,                 2.0551,                 1.8597,                0.17477,                0.19193,                0.10794,                0.03701,                 1.8966,                 17.862,                 1.8087,              0.0004456,              0.0004456,              0.0004456
