                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1498,                 2.6586,                 1.6274,                0.08095,                0.06516,                0.02952,                 0.0076,                 2.3053,                 4.1176,                 2.4609,                    0.1,               0.032653,               0.032653
                      1,                 2.6539,                 2.8708,                 2.0026,                0.00236,                0.16179,                0.00139,                0.00035,                 2.8702,                    inf,                 30.984,               0.098693,                0.06468,                0.06468
                      2,                  2.703,                 2.9234,                 2.1244,                0.00412,                0.07092,                0.00223,                0.00073,                    nan,                    nan,                    nan,               0.096067,               0.095387,               0.095387
                      3,                 2.5582,                 2.6397,                 2.0422,                0.00824,                0.02482,                0.00168,                0.00041,                 2.9964,                    inf,                 6.6099,                0.09406,                0.09406,                0.09406
                      4,                 2.4263,                 2.4446,                 1.9408,                0.07696,                0.09574,                 0.0353,                  0.012,                 2.6311,                 5.1468,                 2.7754,                0.09406,                0.09406,                0.09406
                      5,                 2.3541,                 2.2666,                 1.8598,                0.06733,                0.19548,                0.03487,                0.00931,                 2.1871,                 11.764,                 1.8634,                0.09208,                0.09208,                0.09208
                      6,                 2.2736,                  2.153,                 1.8184,                0.16377,                0.14894,                0.09629,                0.03414,                  2.007,                 24.554,                 1.8118,                 0.0901,                 0.0901,                 0.0901
                      7,                 2.2252,                 2.0724,                 1.7611,                0.19951,                0.19725,                0.11834,                0.03583,                 2.0261,                 16.503,                 1.7824,                0.08812,                0.08812,                0.08812
                      8,                 2.1997,                 2.0384,                  1.737,                0.34778,                 0.2919,                0.20085,                 0.0705,                 1.8986,                 5.7463,                 1.5995,                0.08614,                0.08614,                0.08614
                      9,                 2.1679,                 1.9755,                 1.7187,                0.28694,                0.23715,                0.16966,                0.05802,                 1.9269,                 4.6635,                 1.6543,                0.08416,                0.08416,                0.08416
                     10,                 2.1329,                 1.9346,                 1.7143,                0.47477,                0.29167,                 0.2988,                 0.0967,                 1.8476,                 1.9372,                 1.5739,                0.08218,                0.08218,                0.08218
                     11,                 2.1023,                 1.8857,                 1.6736,                0.44424,                 0.2992,                0.27408,                0.09929,                 1.8067,                   1.91,                 1.4874,                 0.0802,                 0.0802,                 0.0802
