,ModelName,Precision,Recall,F1,TN,TP,FP,FN
0,0.05,0.613,0.737,0.669,0,12173,7680,4353
1,0.1,0.724,0.678,0.7,0,11202,4264,5324
2,0.15,0.786,0.634,0.702,0,10484,2858,6042
3,0.2,0.828,0.599,0.695,0,9904,2059,6622
4,0.25,0.86,0.569,0.685,0,9400,1531,7126
5,0.3,0.882,0.54,0.67,0,8920,1197,7606
6,0.35,0.901,0.511,0.652,0,8446,932,8080
7,0.4,0.917,0.481,0.631,0,7955,719,8571
8,0.45,0.931,0.453,0.609,0,7481,557,9045
9,0.5,0.944,0.423,0.584,0,6993,417,9533
10,0.55,0.954,0.39,0.553,0,6442,313,10084
11,0.6,0.963,0.357,0.521,0,5900,226,10626
12,0.65,0.971,0.32,0.482,0,5293,156,11233
13,0.7,0.977,0.281,0.436,0,4637,108,11889
14,0.75,0.983,0.23,0.373,0,3807,64,12719
15,0.8,0.986,0.171,0.291,0,2826,40,13700
16,0.85,0.991,0.104,0.188,0,1718,16,14808
17,0.9,0.994,0.037,0.072,0,613,4,15913
18,0.95,0.972,0.002,0.004,0,35,1,16491
19,centernet_hg104_1024x1024_coco17_tpu-32,0.969,0.347,0.511,1659,4718,149,8893
20,centernet_hg104_1024x1024_kpts_coco17_tpu-32,0.949,0.405,0.568,1645,6161,334,9039
21,centernet_hg104_512x512_coco17_tpu-8,0.924,0.36,0.518,1621,5465,448,9721
22,centernet_hg104_512x512_kpts_coco17_tpu-32,0.937,0.381,0.541,1629,5657,383,9209
23,centernet_resnet101_v1_fpn_512x512_coco17_tpu-8,0.928,0.326,0.482,1629,4573,357,9457
24,centernet_resnet50_v1_fpn_512x512_coco17_tpu-8,0.949,0.317,0.475,1641,4215,225,9100
25,centernet_resnet50_v1_fpn_512x512_kpts_coco17_tpu-8,0.96,0.34,0.502,1643,4568,190,8856
26,centernet_resnet50_v2_512x512_coco17_tpu-8,0.953,0.307,0.465,1642,3777,188,8519
27,centernet_resnet50_v2_512x512_kpts_coco17_tpu-8,0.963,0.324,0.485,1647,4222,163,8794
28,Custom_YOLOv8lOptimizer_AdamEpochs_500Resolution_640Patience_25Batch_16,0.934,0.598,0.729,1633,9530,669,6399
29,Custom_YOLOv8x6Optimizer_AdamWEpochs_100Resolution_1280Patience_25Batch_4LR0_0.01,0.965,0.537,0.69,1657,8464,305,7289
30,Deoldify-Artistic,0.942,0.445,0.605,1637,6502,397,8101
31,Deoldify-Standard,0.946,0.443,0.603,1642,6528,371,8213
32,efficientdet_d0_coco17_tpu-32,0.936,0.35,0.51,1636,4235,289,7853
33,efficientdet_d1_coco17_tpu-32,0.932,0.382,0.542,1616,4845,354,7844
34,efficientdet_d2_coco17_tpu-32,0.937,0.396,0.557,1615,5360,359,8163
35,efficientdet_d3_coco17_tpu-32,0.929,0.424,0.582,1610,5950,457,8092
36,efficientdet_d4_coco17_tpu-32,0.957,0.411,0.575,1640,5526,249,7905
37,efficientdet_d5_coco17_tpu-32,0.94,0.432,0.592,1631,6267,401,8224
38,efficientdet_d6_coco17_tpu-32,0.944,0.468,0.626,1631,6722,397,7627
39,efficientdet_d7_coco17_tpu-32,0.941,0.457,0.615,1634,6526,408,7747
40,faster_rcnn_inception_resnet_v2_1024x1024_coco17_tpu-8,0.788,0.565,0.658,1507,9195,2480,7084
41,faster_rcnn_inception_resnet_v2_640x640_coco17_tpu-8,0.789,0.427,0.554,1554,6642,1771,8904
42,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8,0.819,0.496,0.618,1570,7524,1665,7631
43,faster_rcnn_resnet101_v1_640x640_coco17_tpu-8,0.785,0.441,0.565,1549,6953,1900,8796
44,faster_rcnn_resnet101_v1_800x1333_coco17_gpu-8,0.803,0.542,0.647,1524,8745,2145,7397
45,faster_rcnn_resnet152_v1_1024x1024_coco17_tpu-8,0.818,0.512,0.63,1562,7809,1736,7452
46,faster_rcnn_resnet152_v1_640x640_coco17_tpu-8,0.769,0.451,0.568,1518,7139,2147,8706
47,faster_rcnn_resnet152_v1_800x1333_coco17_gpu-8,0.805,0.545,0.65,1508,8860,2142,7396
48,faster_rcnn_resnet50_v1_1024x1024_coco17_tpu-8,0.782,0.459,0.578,1547,7032,1966,8282
49,faster_rcnn_resnet50_v1_640x640_coco17_tpu-8,0.763,0.425,0.546,1532,6586,2043,8893
50,faster_rcnn_resnet50_v1_800x1333_coco17_gpu-8,0.767,0.536,0.631,1485,8617,2611,7470
51,faster_rcnn_R_101_C4_3x,0.618,0.671,0.643,1413,10990,6799,5381
52,faster_rcnn_R_101_DC5_3x,0.598,0.674,0.634,1329,11026,7401,5325
53,faster_rcnn_R_101_FPN_3x,0.743,0.651,0.694,1480,10586,3669,5686
54,faster_rcnn_R_50_C4_1x,0.595,0.633,0.613,1406,10355,7052,6003
55,faster_rcnn_R_50_C4_3x,0.595,0.656,0.624,1391,10725,7302,5617
56,faster_rcnn_R_50_DC5_1x,0.602,0.648,0.624,1393,10606,7026,5750
57,faster_rcnn_R_50_DC5_3x,0.595,0.667,0.629,1365,10927,7433,5444
58,faster_rcnn_R_50_FPN_1x,0.733,0.613,0.668,1518,9989,3642,6303
59,faster_rcnn_R_50_FPN_3x,0.726,0.644,0.682,1507,10480,3948,5804
60,faster_rcnn_X_101_32x8d_FPN_3x,0.744,0.646,0.692,1486,10529,3628,5758
61,GFP-GAN-Deoldify-Artistic,0.942,0.445,0.605,1637,6502,397,8101
62,GFP-GAN-Deoldify-Standard,0.946,0.443,0.603,1642,6528,371,8213
63,GFP-GAN,0.932,0.483,0.636,1632,7293,534,7808
64,Haar,0.1,0.038,0.055,1055,297,2685,7597
65,HOG+SVM,0.042,0.023,0.03,844,333,7626,14180
66,Mask-RCNN,0.726,0.6,0.657,1479,9758,3683,6500
67,mask_rcnn_inception_resnet_v2_1024x1024_coco17_gpu-8,0.809,0.519,0.632,1557,8355,1975,7741
68,Microsoft-AI-HR,0.94,0.479,0.634,1636,7234,462,7884
69,Microsoft-AI,0.94,0.479,0.634,1635,7225,460,7872
70,Resized-without-confidence,0.843,0.591,0.695,1590,9432,1762,6532
71,Resized,0.942,0.467,0.624,1637,6991,433,7978
72,RetinaNet,0.947,0.29,0.445,1651,3624,201,8853
73,retinanet_R_101_FPN_3x,0.115,0.788,0.2,278,13020,100608,3506
74,retinanet_R_50_FPN_1x,0.124,0.785,0.215,204,12973,91252,3553
75,retinanet_R_50_FPN_3x,0.127,0.779,0.218,340,12877,88707,3649
