,ModelName,Precision,Recall,F1,TP,FP,FN
0,0.05,0.614,0.697,0.653,2362,1482,1025
1,0.1,0.729,0.636,0.679,2154,802,1233
2,0.15,0.792,0.598,0.681,2025,532,1362
3,0.2,0.834,0.571,0.678,1935,385,1452
4,0.25,0.866,0.545,0.669,1846,286,1541
5,0.3,0.886,0.523,0.658,1771,227,1616
6,0.35,0.903,0.498,0.642,1686,181,1701
7,0.4,0.918,0.468,0.62,1585,141,1802
8,0.45,0.938,0.444,0.602,1503,100,1884
9,0.5,0.954,0.419,0.582,1419,68,1968
10,0.55,0.966,0.39,0.555,1320,47,2067
11,0.6,0.969,0.361,0.526,1223,39,2164
12,0.65,0.978,0.329,0.492,1114,25,2273
13,0.7,0.977,0.294,0.452,997,23,2390
14,0.75,0.98,0.245,0.392,831,17,2556
15,0.8,0.982,0.181,0.306,613,11,2774
16,0.85,0.989,0.11,0.197,371,4,3016
17,0.9,0.985,0.039,0.076,133,2,3254
18,0.95,0.9,0.003,0.005,9,1,3378
19,centernet_hg104_1024x1024_coco17_tpu-32,0.964,0.347,0.51,972,36,1829
20,centernet_hg104_1024x1024_kpts_coco17_tpu-32,0.943,0.388,0.55,1199,73,1890
21,centernet_hg104_512x512_coco17_tpu-8,0.927,0.354,0.512,1115,88,2038
22,centernet_hg104_512x512_kpts_coco17_tpu-32,0.947,0.363,0.525,1146,64,2011
23,centernet_resnet101_v1_fpn_512x512_coco17_tpu-8,0.934,0.319,0.476,943,67,2009
24,centernet_resnet50_v1_fpn_512x512_coco17_tpu-8,0.96,0.309,0.467,872,36,1953
25,centernet_resnet50_v1_fpn_512x512_kpts_coco17_tpu-8,0.968,0.331,0.493,932,31,1884
26,centernet_resnet50_v2_512x512_coco17_tpu-8,0.97,0.304,0.463,774,24,1772
27,centernet_resnet50_v2_512x512_kpts_coco17_tpu-8,0.972,0.317,0.478,834,24,1798
28,Custom_YOLOv8lOptimizer_AdamEpochs_500Resolution_640Patience_25Batch_16,0.938,0.565,0.705,1835,122,1411
29,Custom_YOLOv8x6Optimizer_AdamWEpochs_100Resolution_1280Patience_25Batch_4LR0_0.01,0.947,0.438,0.599,1368,77,1757
30,Deoldify-Artistic,0.953,0.438,0.6,1315,65,1689
31,Deoldify-Standard,0.957,0.438,0.601,1318,59,1693
32,efficientdet_d0_coco17_tpu-32,0.943,0.332,0.491,846,51,1702
33,efficientdet_d1_coco17_tpu-32,0.94,0.381,0.543,995,64,1614
34,efficientdet_d2_coco17_tpu-32,0.939,0.378,0.539,1072,70,1765
35,efficientdet_d3_coco17_tpu-32,0.942,0.41,0.572,1210,75,1739
36,efficientdet_d4_coco17_tpu-32,0.961,0.409,0.574,1140,46,1647
37,efficientdet_d5_coco17_tpu-32,0.946,0.426,0.588,1299,74,1748
38,efficientdet_d6_coco17_tpu-32,0.951,0.478,0.636,1373,70,1500
39,efficientdet_d7_coco17_tpu-32,0.952,0.454,0.615,1360,69,1637
40,faster_rcnn_inception_resnet_v2_1024x1024_coco17_tpu-8,0.799,0.548,0.65,1817,458,1496
41,faster_rcnn_inception_resnet_v2_640x640_coco17_tpu-8,0.801,0.415,0.547,1327,330,1867
42,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8,0.823,0.486,0.611,1484,320,1568
43,faster_rcnn_resnet101_v1_640x640_coco17_tpu-8,0.801,0.428,0.558,1383,344,1848
44,faster_rcnn_resnet101_v1_800x1333_coco17_gpu-8,0.795,0.51,0.621,1679,433,1614
45,faster_rcnn_resnet152_v1_1024x1024_coco17_tpu-8,0.824,0.51,0.631,1512,322,1450
46,faster_rcnn_resnet152_v1_640x640_coco17_tpu-8,0.787,0.437,0.562,1421,385,1831
47,faster_rcnn_resnet152_v1_800x1333_coco17_gpu-8,0.81,0.517,0.631,1714,403,1603
48,faster_rcnn_resnet50_v1_1024x1024_coco17_tpu-8,0.783,0.446,0.568,1383,384,1720
49,faster_rcnn_resnet50_v1_640x640_coco17_tpu-8,0.794,0.418,0.547,1334,347,1860
50,faster_rcnn_resnet50_v1_800x1333_coco17_gpu-8,0.757,0.511,0.61,1663,535,1593
51,faster_rcnn_R_101_C4_3x,0.621,0.636,0.629,2133,1300,1221
52,faster_rcnn_R_101_DC5_3x,0.606,0.637,0.621,2122,1377,1210
53,faster_rcnn_R_101_FPN_3x,0.742,0.612,0.671,2027,706,1286
54,faster_rcnn_R_50_C4_1x,0.594,0.597,0.595,1992,1363,1346
55,faster_rcnn_R_50_C4_3x,0.605,0.627,0.616,2093,1369,1244
56,faster_rcnn_R_50_DC5_1x,0.614,0.616,0.615,2062,1297,1287
57,faster_rcnn_R_50_DC5_3x,0.6,0.643,0.62,2130,1422,1184
58,faster_rcnn_R_50_FPN_1x,0.734,0.58,0.648,1919,694,1391
59,faster_rcnn_R_50_FPN_3x,0.737,0.604,0.664,1997,714,1310
60,faster_rcnn_X_101_32x8d_FPN_3x,0.749,0.608,0.671,2014,675,1301
61,GFP-GAN-Deoldify-Artistic,0.953,0.438,0.6,1315,65,1689
62,GFP-GAN-Deoldify-Standard,0.957,0.438,0.601,1318,59,1693
63,GFP-GAN,0.938,0.474,0.63,1464,96,1626
64,Haar,0.112,0.042,0.061,67,530,1540
65,HOG+SVM,0.049,0.025,0.033,74,1446,2885
66,Mask-RCNN,0.717,0.569,0.634,1880,742,1426
67,mask_rcnn_inception_resnet_v2_1024x1024_coco17_gpu-8,0.811,0.509,0.626,1671,390,1610
68,Microsoft-AI-HR,0.947,0.46,0.619,1457,81,1712
69,Microsoft-AI,0.946,0.463,0.622,1457,83,1688
70,Resized-without-confidence,0.851,0.561,0.676,1854,325,1450
71,Resized,0.951,0.462,0.622,1418,73,1652
72,RetinaNet,0.947,0.293,0.447,752,42,1818
73,retinanet_R_101_FPN_3x,0.115,0.744,0.199,2520,19400,867
74,retinanet_R_50_FPN_1x,0.126,0.746,0.216,2528,17503,859
75,retinanet_R_50_FPN_3x,0.127,0.743,0.218,2516,17222,871
76,ssd_mobilenet_v1_fpn_640x640_coco17_tpu-8,0.907,0.198,0.326,479,49,1936
77,ssd_mobilenet_v2_320x320_coco17_tpu-8,0.565,0.265,0.361,822,632,2282
78,ssd_mobilenet_v2_fpnlite_320x320_coco17_tpu-8,0.853,0.172,0.287,348,60,1671
79,ssd_mobilenet_v2_fpnlite_640x640_coco17_tpu-8,0.891,0.224,0.358,591,72,2048
80,ssd_resnet101_v1_fpn_1024x1024_coco17_tpu-8,0.927,0.325,0.482,940,74,1948
81,ssd_resnet152_v1_fpn_1024x1024_coco17_tpu-8,0.904,0.317,0.47,919,98,1977
82,ssd_resnet152_v1_fpn_640x640_coco17_tpu-8,0.91,0.246,0.387,635,63,1947
83,ssd_resnet50_v1_fpn_1024x1024_coco17_tpu-8,0.919,0.31,0.464,886,78,1968
84,ssd_resnet50_v1_fpn_640x640_coco17_tpu-8,0.905,0.239,0.378,637,67,2030
85,YOLOv7-D6,0.868,0.579,0.695,1915,292,1391
86,YOLOv7-E6,0.876,0.573,0.693,1867,264,1390
87,YOLOv7-E6E,0.873,0.566,0.687,1888,275,1446
88,YOLOv7-W6,0.886,0.555,0.683,1824,234,1463
89,YOLOv7-X,0.88,0.523,0.656,1716,234,1565
90,yolov8l-adjusted,0.698,0.63,0.662,2108,913,1238
91,YOLOv8l-custom-MicrosoftAi,0.555,0.78,0.648,2633,2111,744
92,yolov8l-cyclegan,0.755,0.6,0.668,1997,648,1333
93,YOLOv8l,0.917,0.508,0.654,1586,144,1535
94,yolov8l_custom,0.749,0.724,0.737,2443,819,929
95,YOLOv8l_Deoldify_Artistic,0.822,0.428,0.563,1320,285,1765
96,YOLOv8l_Deoldify_Standard,0.828,0.419,0.557,1320,274,1828
97,YOLOv8l_GFPGAN_Deoldify_Artistic,0.822,0.428,0.563,1320,285,1765
98,YOLOv8l_GFPGAN_Deoldify_Standard,0.828,0.419,0.557,1320,274,1828
99,YOLOv8m,0.91,0.486,0.633,1545,152,1636
100,YOLOv8m_Deoldify_Artistic,0.81,0.404,0.539,1272,299,1879
101,YOLOv8m_Deoldify_Standard,0.819,0.407,0.544,1248,276,1818
102,YOLOv8m_GFPGAN_Deoldify_Artistic,0.81,0.404,0.539,1272,299,1879
103,YOLOv8m_GFPGAN_Deoldify_Standard,0.819,0.407,0.544,1248,276,1818
104,YOLOv8n,0.923,0.379,0.537,1107,92,1816
105,YOLOv8n_Deoldify_Artistic,0.875,0.349,0.499,984,140,1837
106,YOLOv8n_Deoldify_Standard,0.869,0.352,0.501,958,145,1766
107,YOLOv8n_GFPGAN_Deoldify_Artistic,0.875,0.349,0.499,984,140,1837
108,YOLOv8n_GFPGAN_Deoldify_Standard,0.869,0.352,0.501,958,145,1766
109,YOLOv8s,0.912,0.422,0.577,1353,130,1856
110,YOLOv8s_Deoldify_Artistic,0.834,0.401,0.541,1176,234,1758
111,YOLOv8s_Deoldify_Standard,0.816,0.376,0.515,1170,263,1938
112,YOLOv8s_GFPGAN_Deoldify_Artistic,0.834,0.401,0.541,1176,234,1758
113,YOLOv8s_GFPGAN_Deoldify_Standard,0.816,0.376,0.515,1170,263,1938
114,YOLOv8x,0.914,0.501,0.647,1638,154,1630
115,YOLOv8X6,0.765,0.481,0.591,1574,483,1696
116,yolov8x6_custom,0.78,0.647,0.708,2154,607,1173
117,YOLOv8x6_Deoldify_Artistic,0.795,0.482,0.6,1497,387,1608
118,YOLOv8x6_Deoldify_Standard,0.808,0.483,0.605,1495,355,1599
119,YOLOv8x6_GFPGAN_Deoldify_Artistic,0.795,0.482,0.6,1497,387,1608
120,YOLOv8x6_GFPGAN_Deoldify_Standard,0.808,0.483,0.605,1495,355,1599
121,YOLOv8x_Deoldify_Artistic,0.798,0.427,0.557,1355,343,1816
122,YOLOv8x_Deoldify_Standard,0.799,0.411,0.543,1335,335,1912
123,YOLOv8x_GFPGAN_Deoldify_Artistic,0.798,0.427,0.557,1355,343,1816
124,YOLOv8x_GFPGAN_Deoldify_Standard,0.799,0.411,0.543,1335,335,1912
